Date,HomeTeam,AwayTeam,FTR,season,home_odds,draw_odds,away_odds,goals_scored,goals_conceded,ELO,matchDay,avg_goals_scored,avg_goals_conceded,points,avg_points_game,elo_change_trend,goals_scored_trend,goals_conceded_trend,goals_scored_away,goals_conceded_away,ELO_away,matchDay_away,avg_goals_scored_away,avg_goals_conceded_away,points_away,avg_points_game_away,elo_change_trend_away,goals_scored_trend_away,goals_conceded_trend_away
2015-10-18,Newcastle,Norwich,H,2016,2.6,3.4,2.88,12,19,960.21,9,1.333,2.111,6,0.667,-34.13,0.8,2.4,14,20,973.03,9,1.556,2.222,9,1.0,2.03,1.4,1.2
2015-10-19,Swansea,Stoke,A,2016,2.05,3.4,4.06,10,11,984.25,9,1.111,1.222,10,1.111,-22.85,0.6,1.2,9,10,1004.42,9,1.0,1.111,12,1.333,12.21,1.0,1.0
2015-10-24,Arsenal,Everton,H,2016,1.44,4.75,8.0,18,8,1061.2,10,1.8,0.8,22,2.2,37.39,2.2,0.8,13,13,999.24,10,1.3,1.3,13,1.3,-6.28,0.8,1.2
2015-10-24,Aston Villa,Swansea,A,2016,3.0,3.22,2.6,9,17,929.07,10,0.9,1.7,4,0.4,-41.2,0.4,1.4,12,12,996.34,10,1.2,1.2,13,1.3,-28.03,0.6,1.2
2015-10-24,Leicester,Crystal Palace,H,2016,2.2,3.56,3.4,20,17,1032.14,10,2.0,1.7,19,1.9,-2.37,1.6,2.0,12,11,1000.45,10,1.2,1.1,15,1.5,-1.63,0.8,0.8
2015-10-24,Norwich,West Brom,A,2016,2.0,3.49,4.03,14,21,959.92,10,1.4,2.1,9,0.9,-22.07,1.2,2.2,8,11,995.78,10,0.8,1.1,14,1.4,-0.32,0.8,1.0
2015-10-24,Stoke,Watford,A,2016,2.1,3.3,3.89,9,12,988.37,10,0.9,1.2,12,1.2,33.51,1.2,0.6,8,10,997.88,10,0.8,1.0,13,1.3,-15.74,0.6,1.2
2015-10-24,West Ham,Chelsea,H,2016,3.91,3.7,2.0,22,13,1048.35,10,2.2,1.3,20,2.0,27.03,1.8,1.2,15,19,978.07,10,1.5,1.9,11,1.1,4.53,1.4,1.0
2015-10-25,Bournemouth,Tottenham,A,2016,3.5,3.4,2.25,12,22,949.94,10,1.2,2.2,8,0.8,-12.34,1.0,1.6,16,8,1042.32,10,1.6,0.8,17,1.7,18.24,1.4,0.6
2015-10-25,Liverpool,Southampton,D,2016,2.08,3.5,3.87,9,11,1002.79,10,0.9,1.1,14,1.4,11.26,1.0,0.8,16,13,1012.18,10,1.6,1.3,14,1.4,8.97,2.0,1.4
2015-10-25,Man United,Man City,D,2016,2.63,3.32,2.85,15,8,1044.11,10,1.5,0.8,20,2.0,28.46,1.8,1.0,24,8,1060.82,10,2.4,0.8,22,2.2,-4.91,2.6,1.6
2015-10-25,Sunderland,Newcastle,H,2016,2.6,3.3,2.9,11,19,952.21,10,1.1,1.9,6,0.6,-23.4,0.4,1.6,12,22,948.82,10,1.2,2.2,6,0.6,-11.1,2.0,2.4
2015-10-31,Chelsea,Liverpool,A,2016,2.1,3.4,3.75,16,22,963.54,11,1.455,2.0,11,1.0,-11.35,1.2,1.4,12,12,1017.32,11,1.091,1.091,17,1.545,11.3,1.0,0.8
2015-10-31,Crystal Palace,Man United,D,2016,4.0,3.4,2.1,12,11,998.78,11,1.091,1.0,16,1.455,-0.97,0.8,0.8,15,8,1045.78,11,1.364,0.727,21,1.909,12.85,1.2,0.6
2015-10-31,Man City,Norwich,H,2016,1.29,6.0,12.0,26,9,1065.82,11,2.364,0.818,25,2.273,12.54,2.4,1.2,15,23,954.92,11,1.364,2.091,9,0.818,-37.94,1.0,2.2
2015-10-31,Newcastle,Stoke,D,2016,2.4,3.39,3.2,12,22,947.19,11,1.091,2.0,7,0.636,-9.84,1.8,2.6,9,12,990.0,11,0.818,1.091,13,1.182,18.7,0.8,0.6
2015-10-31,Swansea,Arsenal,A,2016,5.0,3.93,1.75,12,15,980.26,11,1.091,1.364,13,1.182,-13.09,1.0,1.4,21,8,1077.28,11,1.909,0.727,25,2.273,53.44,2.6,0.6
2015-10-31,Watford,West Ham,H,2016,2.6,3.3,2.9,10,10,1008.1,11,0.909,0.909,16,1.455,-12.34,0.6,1.0,22,15,1038.13,11,2.0,1.364,20,1.818,18.21,1.8,1.2
2015-10-31,West Brom,Leicester,A,2016,2.9,3.3,2.6,10,14,983.34,11,0.909,1.273,14,1.273,-0.59,0.8,1.0,23,19,1044.58,11,2.091,1.727,22,2.0,3.42,1.4,1.6
2015-11-01,Everton,Sunderland,H,2016,1.5,4.5,7.5,19,15,1010.15,11,1.727,1.364,16,1.455,-15.29,1.0,1.6,13,25,941.3,11,1.182,2.273,6,0.545,-3.87,1.0,1.2
2015-11-01,Southampton,Bournemouth,H,2016,1.55,4.33,6.5,18,13,1019.0,11,1.636,1.182,17,1.545,24.66,1.8,1.0,12,24,943.12,11,1.091,2.182,8,0.727,-40.96,0.8,2.6
2015-11-02,Tottenham,Aston Villa,H,2016,1.42,4.75,8.0,19,9,1047.79,11,1.727,0.818,20,1.818,31.03,2.2,0.8,10,20,923.6,11,0.909,1.818,4,0.364,-39.91,0.6,1.6
2015-11-07,Bournemouth,Newcastle,A,2016,2.22,3.5,3.4,12,25,929.95,12,1.0,2.083,8,0.667,-39.56,0.6,2.6,13,22,960.36,12,1.083,1.833,10,0.833,-9.58,1.4,2.2
2015-11-07,Leicester,Watford,H,2016,1.85,3.71,4.34,25,20,1051.09,12,2.083,1.667,25,2.083,35.28,1.6,1.0,11,12,1001.59,12,0.917,1.0,16,1.333,11.58,1.0,0.8
2015-11-07,Man United,West Brom,H,2016,1.34,5.1,11.5,17,8,1052.5,12,1.417,0.667,24,2.0,6.75,0.6,0.6,10,16,976.62,12,0.833,1.333,14,1.167,-0.09,0.8,1.0
2015-11-07,Norwich,Swansea,H,2016,2.5,3.4,2.99,16,23,963.29,12,1.333,1.917,12,1.0,-46.61,0.8,2.2,12,16,971.89,12,1.0,1.333,13,1.083,-19.82,0.8,1.4
2015-11-07,Stoke,Chelsea,H,2016,3.8,3.5,2.07,10,12,996.9,12,0.833,1.0,16,1.333,12.11,0.4,0.4,16,23,956.64,12,1.333,1.917,11,0.917,-27.77,1.0,1.6
2015-11-07,Sunderland,Southampton,A,2016,4.75,3.7,1.8,13,26,930.19,12,1.083,2.167,6,0.5,-7.01,1.4,1.8,19,13,1030.11,12,1.583,1.083,20,1.667,22.13,1.6,0.8
2015-11-07,West Ham,Everton,D,2016,2.55,3.49,2.8,23,16,1034.54,12,1.917,1.333,21,1.75,11.66,1.4,1.2,20,16,1013.74,12,1.667,1.333,17,1.417,-17.32,1.6,1.6
2015-11-08,Arsenal,Tottenham,D,2016,1.73,3.96,5.0,22,9,1073.56,12,1.833,0.75,26,2.167,50.1,2.2,0.2,20,10,1051.51,12,1.667,0.833,21,1.75,24.72,2.0,0.8
2015-11-08,Aston Villa,Man City,D,2016,8.0,4.8,1.44,10,20,924.82,12,0.833,1.667,5,0.417,-38.38,0.4,1.6,26,9,1064.6,12,2.167,0.75,26,2.167,29.32,2.6,0.6
2015-11-08,Liverpool,Crystal Palace,A,2016,1.67,3.8,5.75,13,14,1003.35,12,1.083,1.167,17,1.417,18.83,1.0,0.6,14,12,1012.75,12,1.167,1.0,19,1.583,-16.34,0.6,0.8
2015-11-21,Chelsea,Norwich,H,2016,1.4,4.8,8.5,17,23,964.5,13,1.308,1.769,14,1.077,-19.51,0.8,1.2,16,24,955.43,13,1.231,1.846,12,0.923,-25.0,0.8,1.8
2015-11-21,Everton,Aston Villa,H,2016,1.57,4.01,6.0,24,16,1022.94,13,1.846,1.231,20,1.538,-10.15,1.6,1.6,10,24,915.62,13,0.769,1.846,5,0.385,-24.25,0.4,1.4
2015-11-21,Man City,Liverpool,A,2016,1.7,3.75,5.5,27,13,1043.7,13,2.077,1.0,26,2.0,16.28,1.4,0.4,17,15,1024.25,13,1.308,1.154,20,1.538,1.28,1.0,0.8
2015-11-21,Newcastle,Leicester,A,2016,2.8,3.55,2.5,13,25,945.45,13,1.0,1.923,10,0.769,15.41,1.4,1.0,28,20,1066.0,13,2.154,1.538,28,2.154,28.55,1.6,1.0
2015-11-21,Southampton,Stoke,A,2016,1.62,3.9,6.5,19,14,1015.74,13,1.462,1.077,20,1.538,18.08,1.2,0.6,11,12,1011.27,13,0.846,0.923,19,1.462,6.1,0.4,0.4
2015-11-21,Swansea,Bournemouth,D,2016,1.91,3.59,4.5,14,18,968.14,13,1.077,1.385,14,1.077,-25.98,0.4,1.2,14,27,933.7,13,1.077,2.077,9,0.692,-50.33,0.4,2.6
2015-11-21,Watford,Man United,A,2016,4.02,3.38,2.05,12,14,989.54,13,0.923,1.077,16,1.231,2.67,1.0,1.0,19,9,1064.55,13,1.462,0.692,27,2.077,24.24,1.0,0.0
2015-11-21,West Brom,Arsenal,H,2016,6.5,4.29,1.53,12,17,986.95,13,0.923,1.308,17,1.308,0.85,0.8,1.0,23,11,1063.23,13,1.769,0.846,26,2.0,35.61,1.8,0.4
2015-11-22,Tottenham,West Ham,H,2016,1.57,4.2,6.44,24,11,1061.14,13,1.846,0.846,24,1.846,26.23,1.8,0.6,24,20,1024.91,13,1.846,1.538,21,1.615,7.48,1.2,1.0
